Mare Time follicles 
4  0.59090910  6
4  0.63636360  5
4  0.68181820  6
4  0.72727270  8
4  0.77272730 11
4  0.81818180 14
4  0.86363640  8
4  0.90909090  9
4  0.95454550 10
4  1.00000000  7
4  1.04545500  7
4  1.09090900  6
4  1.13636400 11
5 -0.13636360 10
5 -0.09090910 12
5 -0.04545455 12
5  0.00000000 17
5  0.04545455  9
5  0.09090910 10
5  0.13636360  3
5  0.18181820 12
5  0.22727270 13
5  0.27272730  9
5  0.31818180  4
5  0.36363640  7
5  0.40909090  4
5  0.45454550 12
5  0.50000000 14
5  0.54545450 12
5  0.59090910 15
5  0.63636360 17
5  0.68181820 15
5  0.72727270 13
5  0.77272730 18
5  0.81818180 19
5  0.86363640 13
5  0.90909090  9
5  0.95454550 12
5  1.00000000  8
5  1.04545500 10
5  1.09090900  5
5  1.13636400 14
6 -0.13636360 16
6 -0.09090910 17
6 -0.04545455 13
6  0.00000000 17
6  0.04545455 15
6  0.09090910  9
6  0.13636360  8
6  0.18181820  5
6  0.22727270  9
6  0.27272730  8
6  0.31818180  8
6  0.36363640 13
6  0.40909090 14
6  0.45454550 13
6  0.50000000 14
6  0.54545450 14
6  0.59090910 11
6  0.63636360 17
6  0.68181820 21
6  0.72727270 21
6  0.77272730 21
6  0.81818180 20
6  0.86363640 17
6  0.90909090 18
6  0.95454550 22
6  1.00000000 10
6  1.04545500 11
6  1.09090900 11
6  1.13636400 12
7 -0.15000000 18
7 -0.10000000 13
7 -0.05000000 14
7  0.00000000 12
7  0.05000000 11
7  0.10000000  8
7  0.15000000  5
7  0.20000000  8
7  0.25000000 10
7  0.30000000 11
7  0.35000000 10
7  0.40000000 12
7  0.45000000 10
7  0.50000000  9
7  0.55000000 12
7  0.60000000 14
7  0.65000000 16
7  0.70000000 13
7  0.75000000 11
7  0.80000000 13
7  0.85000000 13
7  0.90000000 11
7  0.95000000 11
7  1.00000000  8
7  1.05000000 14
7  1.10000000  4
7  1.15000000  7
8 -0.12500000 13
8 -0.08333333  9
8 -0.04166667 15
8  0.00000000 15
8  0.04166667 12
8  0.08333333  8
8  0.12500000 10
8  0.16666670  6
8  0.20833330  9
8  0.25000000  8
8  0.29166670 10
8  0.33333330  6
8  0.37500000  8
8  0.41666670 13
8  0.45833330 12
8  0.50000000 12
8  0.54166670 15
8  0.58333330 21
8  0.62500000 25
8  0.66666670 21
8  0.70833330 21
8  0.75000000 24
8  0.79166670 20
8  0.83333330 20
8  0.87500000 18
8  0.91666670 20
8  0.95833330 20
8  1.00000000 19
8  1.04166700 12
8  1.08333300  7
8  1.12500000  8
9 -0.16666670 10
9 -0.11111110 14
9 -0.05555556 12
9  0.00000000 10
9  0.05555556  7
9  0.11111110 12
9  0.16666670 10
9  0.22222220  8
9  0.27777780 10
9  0.33333330 15
9  0.38888890 15
9  0.44444440 12
9  0.50000000 19
9  0.55555560 15
9  0.61111110 16
9  0.66666670 15
9  0.72222220 17
9  0.77777780 14
9  0.83333330 16
9  0.88888890 15
9  0.94444440 11
9  1.00000000 10
9  1.05555600  7
9  1.11111100  4
9  1.16666700  8
10 -0.13636360 11
10 -0.09090910 16
10 -0.04545455 15
10  0.00000000 12
10  0.04545455 11
10  0.09090910  6
10  0.13636360 11
10  0.18181820 12
10  0.22727270 11
10  0.27272730 16
10  0.31818180 15
10  0.36363640 11
10  0.40909090  7
10  0.45454550 14
10  0.50000000 20
10  0.54545450 22
10  0.59090910 23
10  0.63636360 21
10  0.68181820 21
10  0.72727270 23
10  0.77272730 22
10  0.81818180 22
10  0.86363640 17
10  0.90909090 17
10  0.95454550 17
10  1.00000000 17
10  1.04545500 14
10  1.09090900 12
10  1.13636400 11
11 -0.15000000  9
11 -0.10000000  8
11 -0.05000000  8
11  0.00000000  8
11  0.05000000  8
11  0.10000000  6
11  0.15000000  7
11  0.20000000  8
11  0.25000000 10
11  0.30000000 10
11  0.35000000 14
11  0.40000000 13
11  0.45000000  8
11  0.50000000  8
11  0.55000000  8
11  0.60000000  9
11  0.65000000 16
11  0.70000000 12
11  0.75000000 10
11  0.80000000 12
11  0.85000000 12
11  0.90000000  9
11  0.95000000  6
11  1.00000000  9
11  1.05000000  7
11  1.10000000  5
11  1.15000000  5
